period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
2010-2014,6,"betrokkene, verzoeker, verzoekers, utrecht, metc",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,7,"dr, 2011, prof dr, 2008, verweerder",9,0,33,28,0.2727272727272727,0.0,7.133943221086229,0.007563820671302651,4.466107683493119,lowi,0.21178697879647423,False
2010-2014,8,"verzoeker, 2018, belanghebbende, betrokkene, promovendus",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,9,"beklaagden, tu, klachtonderdeel, cvb, tabel",0,3,33,28,0.0,0.10714285714285714,1.4817212082980493,0.22350541736707838,-3.201018770543881,uvnl,1.0,False
2010-2014,10,"verzoeker, persbericht, betrokkene, polemiek, verzoekers",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,11,"the, boek, plagiaat, 2014, passages",0,5,33,28,0.0,0.17857142857142858,3.940805586173359,0.04712820372075883,-3.970931957417432,uvnl,1.0,False
2010-2014,12,"the, beklaagden, toetsingscommissie, that, organisatie",0,6,33,28,0.0,0.21428571428571427,5.360516883372794,0.020597667834839926,-4.27467581226919,uvnl,0.5767346993755179,False
2010-2014,13,"beklaagden, 2018, databases, bijlage, radboud",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,14,"betrokkene, verzoeker, verzoekers, redactie, universiteit leiden",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,15,"onderzoeker, leerstoelhouder, opdrachtgever, verzoeker, betrokkene",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,16,"the, beklaagden, and, to, the committee",0,2,33,28,0.0,0.07142857142857142,0.5435590568191473,0.46096146919843717,-2.6600968307819355,uvnl,1.0,False
2010-2014,17,"klaagster, 2013, klagers, auteurs, 2012",9,0,33,28,0.2727272727272727,0.0,7.133943221086229,0.007563820671302651,4.466107683493119,lowi,0.21178697879647423,False
2010-2014,18,"universiteit leiden, begrip, regeling, college, open brief",0,2,33,28,0.0,0.07142857142857142,0.5435590568191473,0.46096146919843717,-2.6600968307819355,uvnl,1.0,False
2010-2014,19,"belanghebbende, verzoeker, belanghebbenden, klachtonderdeel, paper",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,20,"verzoeker, 2016, 2017, taal, december 2016",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,21,"verzoeker, erasmus, mc, erasmus mc, betrokkene",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
